Requirement ID,Source Doc,Source Section,Module,Requirement Statement,User Role(s),Priority,Complexity,Dependency/Related IDs,Acceptance Criteria Needed,Status,MVP Scope,Test Required,Owner Agent,Notes
PV-001,1,Product vision,Product Strategy,Platform must evolve from Google tools/Python scripts into a professional web platform for wedding guest operations.,"Diginoces admin, Staff",Must-have,High,,Yes,Not started,MVP,Yes,Orchestrator Agent,
PV-002,1,Product type,Product Strategy,System must serve Diginoces internal operations first while remaining SaaS-ready for partner scaling.,"Diginoces admin, Partners",Must-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
PV-003,1,Business model,Business Strategy,"Diginoces must control pricing, branding, contracts, packages, and client experience.",Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,Backend Agent,
PV-004,1,Communication strategy,Communication,Version 1 must be WhatsApp-first for guest/client communication.,All,Must-have,Medium,,Yes,Not started,MVP,Yes,WhatsApp Agent,
PV-005,1,External tool boundaries,Product Strategy,Canva remains the design/export tool; the app supplies structured data and personalization.,Diginoces staff,Must-have,Medium,,Yes,Not started,MVP,Yes,PDF/QR Agent,
PV-006,1,Storage direction,Files & Storage,Future app must use app-owned file storage rather than Google Drive as the operational storage system.,Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
ROLE-001,2,Role structure,Roles & Permissions,"System must support global roles, project-level roles, event-level roles, and custom roles.",Diginoces admin,Must-have,High,,Yes,Not started,MVP,Yes,Security Agent,
ROLE-002,2,Diginoces admin,Roles & Permissions,"Diginoces admin must have full platform control including settings, users, pricing, payments, contracts, reports, and audit logs.",Diginoces admin,Must-have,High,ROLE-001,Yes,Not started,MVP,Yes,Backend Agent,
ROLE-003,2,Diginoces staff,Roles & Permissions,"Diginoces staff access must depend on assignment and permissions, not automatic full access.",Diginoces staff,Must-have,High,ROLE-001,Yes,Not started,MVP,Yes,Backend Agent,
ROLE-004,2,External partner,Roles & Permissions,"External partners can create/manage assigned projects but cannot manage pricing, see revenue, approve payment exceptions, or access internal reports.",Partners,Must-have,High,PART-001,Yes,Not started,MVP,Yes,Security Agent,
ROLE-005,2,Bride/Groom,Roles & Permissions,"Bride and groom can edit their own side while unlocked and view the partner side, but cannot edit partner list directly.","Bride, Groom",Must-have,High,GM-002,Yes,Not started,MVP,Yes,Backend Agent,
ROLE-006,2,Check-in staff,Roles & Permissions,Check-in staff must have full accounts and only access check-in operations for assigned events.,Check-in staff,Must-have,High,CHK-001,Yes,Not started,MVP,Yes,Security Agent,
ROLE-007,2,2FA,Security,Sensitive roles must require two-factor authentication.,"Diginoces admin, Finance, Supervisor",Must-have,High,,Yes,Not started,MVP,Yes,Security Agent,
ROLE-008,2,Internal notes,Notes & Collaboration,Internal notes must be visible only to Diginoces/admin and authorized staff and editable only within 15 minutes.,"Diginoces admin, Staff",Should-have,Medium,,Yes,Not started,MVP,Yes,Backend Agent,
ROLE-009,2,Guest public page,Roles & Permissions,Guests must access only their own secure public page without creating accounts.,Guest,Must-have,High,RSVP-001,Yes,Not started,MVP,Yes,Security Agent,
PROJ-001,3,Hierarchy,Project Structure,System hierarchy must be Wedding Project → Events/Celebrations → Event-specific operations.,All,Must-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
PROJ-002,3,Multiple events,Project Structure,One wedding project must support multiple events/celebrations.,"Diginoces admin, Couple",Must-have,High,PROJ-001,Yes,Not started,MVP,Yes,Backend Agent,
