Story ID,Feature ID,Epic ID,Title,User Story,Linked Requirement IDs,Priority,MVP Scope,Complexity,Status,Owner Agent,Review Agent,Dependencies,Acceptance Criteria Summary,Data/API/UI Impact,Tests Required,Security Review,Notes
STORY-FOUND-001,FEAT-FOUND-001,EPIC-FOUNDATION,Create responsive app shell,"As a platform user, I want a responsive app shell so that all portals share a consistent structure.",TECH-001;TECH-002,Must-have,MVP,Medium,Draft,Frontend Agent,QA/Test Agent,,"Responsive layout works on phone, tablet, laptop; route structure exists; light/dark support foundation exists.",UI routes and layout,TEST-FOUND-001,No,
STORY-ROLE-001,FEAT-ROLE-001,EPIC-ROLE,User can log in securely,"As an account user, I want to log in securely so that I can access my authorized workspace.",ROLE-001;ROLE-006,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-FOUND-001,Valid users can login; inactive users blocked; sessions managed.,Auth API and login UI,TEST-ROLE-001,Yes,
STORY-ROLE-002,FEAT-ROLE-002,EPIC-ROLE,Admin manages role assignments,"As Diginoces admin, I want to assign users to global, project, and event roles so that access is controlled.",ROLE-001;ROLE-002;ROLE-003;TECH-004,Must-have,MVP,High,Draft,Backend Agent,Security Agent,STORY-ROLE-001,Role permissions enforced by backend; unauthorized users denied.,Roles tables and APIs,TEST-ROLE-002,Yes,
STORY-ROLE-003,FEAT-ROLE-003,EPIC-ROLE,Sensitive users use 2FA,"As Diginoces admin, I want sensitive roles to require 2FA so that critical functions are protected.",ROLE-007,Must-have,MVP,High,Draft,Security Agent,QA/Test Agent,STORY-ROLE-001,Sensitive-role login requires second factor; non-sensitive roles optional.,Auth and account settings,TEST-ROLE-003,Yes,
STORY-PROJ-001,FEAT-PROJ-001,EPIC-PROJ,Admin creates wedding project,"As Diginoces admin, I want to create a wedding project so that I can manage a couple's service.",PROJ-001;PROJ-002,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-ROLE-002,Project created with status; can contain events; permissions applied.,Project API/UI,TEST-PROJ-001,Yes,
STORY-PROJ-002,FEAT-PROJ-001,EPIC-PROJ,Admin creates multiple events,"As Diginoces admin, I want to create multiple events inside a project so that civil, religious, reception, and other celebrations are separated.",PROJ-002,Must-have,MVP,High,Draft,Frontend Agent,QA/Test Agent,STORY-PROJ-001,Project supports more than one event; event data stored separately.,Event API/UI,TEST-PROJ-002,No,
STORY-PROJ-003,FEAT-PROJ-002,EPIC-PROJ,System generates project and event codes,"As staff, I want readable project and event codes so that invitation IDs and reports are easy to identify.",PROJ-003;PROJ-004,Must-have,MVP,Medium,Draft,Backend Agent,QA/Test Agent,STORY-PROJ-001,Project code unique; event code auto-generated and editable by admin.,Code generation logic,TEST-PROJ-003,No,
STORY-GM-001,FEAT-GM-001,EPIC-GM,Create master guest record,"As staff, I want every guest stored once in the master database so that duplicates and event assignments are controlled.",GM-001;PROJ-005,Must-have,MVP,High,Draft,Backend Agent,QA/Test Agent,STORY-PROJ-001,Guest exists once at project level; can be assigned to events.,Guests and assignments tables,TEST-GM-001,Yes,
STORY-GM-002,FEAT-GM-002,EPIC-GM,Bride adds guest to her list,"As a bride, I want to add guests to my bride-side list so that I can prepare my invited guests.",GM-002;GM-003;ROLE-005,Must-have,MVP,High,Draft,Frontend Agent,Security Agent,STORY-GM-001,Bride can add own guest while unlocked; groom views but cannot edit; audit logged.,Guest form/API,TEST-GM-002,Yes,
STORY-GM-003,FEAT-GM-002,EPIC-GM,Groom adds guest to his list,"As a groom, I want to add guests to my groom-side list so that I can prepare my invited guests.",GM-002;GM-003;ROLE-005,Must-have,MVP,High,Draft,Frontend Agent,Security Agent,STORY-GM-001,Groom can add own guest while unlocked; bride views but cannot edit; audit logged.,Guest form/API,TEST-GM-003,Yes,
