Feature ID,Epic ID,Feature Name,Description,Linked Requirement IDs,MVP Scope,Priority,Complexity,Owner Agent,Dependencies,Status,Notes
FEAT-FOUND-001,EPIC-FOUNDATION,App shell and routing,"Create base responsive app shell, routing, layout, environment setup.",TECH-001;TECH-002,MVP,Must-have,Medium,Frontend Agent,,Draft,
FEAT-FOUND-002,EPIC-FOUNDATION,Database foundation,Set up PostgreSQL schema management and migrations.,TECH-003,MVP,Must-have,High,Architecture Agent,FEAT-FOUND-001,Draft,
FEAT-FOUND-003,EPIC-FOUNDATION,Background job foundation,"Set up job/queue pattern for PDFs, messages, exports, reminders.",TECH-005,MVP,Must-have,High,Architecture Agent,FEAT-FOUND-002,Draft,
FEAT-ROLE-001,EPIC-ROLE,Authentication and accounts,"Implement account login, password, activation, session management.",ROLE-001;ROLE-006,MVP,Must-have,High,Backend Agent,FEAT-FOUND-001,Draft,
FEAT-ROLE-002,EPIC-ROLE,Role and permission engine,"Implement global, project, event, and custom role permissions.",ROLE-001;ROLE-002;ROLE-003;TECH-004,MVP,Must-have,High,Security Agent,FEAT-ROLE-001,Draft,
FEAT-ROLE-003,EPIC-ROLE,Sensitive-role 2FA,"Require 2FA for admin, finance, contract, supervisor, permission roles.",ROLE-007,MVP,Must-have,High,Security Agent,FEAT-ROLE-001,Draft,
FEAT-PROJ-001,EPIC-PROJ,Project and event model,"Create wedding projects, events, project hierarchy, statuses.",PROJ-001;PROJ-002,MVP,Must-have,High,Backend Agent,FEAT-ROLE-002,Draft,
FEAT-PROJ-002,EPIC-PROJ,Project and event codes,Auto-generate project and event codes with admin edit for events.,PROJ-003;PROJ-004,MVP,Must-have,Medium,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-PROJ-003,EPIC-PROJ,Workflow checklist foundation,Generate checklist tasks from project/event setup.,PROJ-007,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-GM-001,EPIC-GM,Master guest database,Implement project-level guest database and event guest assignments.,GM-001;PROJ-005,MVP,Must-have,High,Backend Agent,FEAT-PROJ-001,Draft,
FEAT-GM-002,EPIC-GM,Bride/groom guest lists,Implement separate working lists backed by master database.,GM-002;ROLE-005,MVP,Must-have,High,Frontend Agent,FEAT-GM-001,Draft,
FEAT-GM-003,EPIC-GM,Guest manual entry,Allow permitted users to manually add/edit guests.,GM-003;GM-006,MVP,Must-have,Medium,Frontend Agent,FEAT-GM-002,Draft,
FEAT-GM-004,EPIC-GM,CSV/Excel import and approval,"Import guests, map columns, validate, and require admin approval.",GM-004;GM-005,MVP,Must-have,High,Data Agent,FEAT-GM-001,Draft,
FEAT-GM-005,EPIC-GM,Duplicate and both-side handling,Detect duplicates and support one guest belonging to both sides.,GM-008;GM-009,MVP,Must-have,High,AI Agent,FEAT-GM-001,Draft,AI part can be rule-based first.
FEAT-GM-006,EPIC-GM,Guest locks and change requests,Lock lists by stage and route post-lock edits through requests.,GM-013;GM-014,MVP,Must-have,High,Backend Agent,FEAT-GM-003,Draft,
FEAT-RSVP-001,EPIC-RSVP,Secure public guest page,Create token-based guest page with payment gate and admin preview.,RSVP-001;RSVP-002;RSVP-003;TECH-010,MVP,Must-have,High,Frontend Agent,FEAT-GM-001;FEAT-PAY-004,Draft,
FEAT-RSVP-002,EPIC-RSVP,RSVP engine,Implement event-specific Yes/No/Maybe RSVP and edit rules.,RSVP-006;RSVP-007;RSVP-009;RSVP-010,MVP,Must-have,High,Backend Agent,FEAT-RSVP-001,Draft,
