Module,Total Requirements,MVP Requirements,Post-MVP Requirements,Must-have,Should-have,Could-have,Accepted,Not Started,Coverage Notes
AI Assistance,6,0,6,0,5,1,0,6,
Audit Logs,2,2,0,2,0,0,0,2,
Business Strategy,1,1,0,1,0,0,0,1,
Check-in,14,14,0,11,3,0,0,14,
Communication,11,11,0,9,2,0,0,11,
Contracts & Payments,5,4,1,3,1,1,0,5,
Files & Storage,10,10,0,7,3,0,0,10,
Guest Book,8,8,0,7,1,0,0,8,
Guest Import,2,2,0,2,0,0,0,2,
Guest Management,13,13,0,9,4,0,0,13,
Integrations,2,0,2,0,2,0,0,2,
Invitations,12,12,0,11,1,0,0,12,
Localization,1,1,0,1,0,0,0,1,
Notes & Collaboration,1,1,0,0,1,0,0,1,
Partners,7,7,0,6,1,0,0,7,
Payments,3,3,0,3,0,0,0,3,
PDF Generation,1,1,0,1,0,0,0,1,
Pricing,7,7,0,6,1,0,0,7,
Print Materials,2,2,0,1,1,0,0,2,
Product Strategy,3,3,0,3,0,0,0,3,
Project Structure,6,6,0,5,1,0,0,6,
Public Guest Page,5,5,0,4,1,0,0,5,
QR,2,2,0,2,0,0,0,2,
RSVP,8,8,0,7,1,0,0,8,
Reports & Dashboards,5,5,0,4,1,0,0,5,
Roadmap,3,2,1,3,0,0,0,3,
Roles & Permissions,7,7,0,7,0,0,0,7,
Security,1,1,0,1,0,0,0,1,
Tables & Seating,10,10,0,6,4,0,0,10,
Tasks & Workflow,1,1,0,1,0,0,0,1,
Technical Architecture,8,8,0,7,1,0,0,8,
